sim_case,time_trend,Model,mean_error,sd_error
1,constant,Data,0.22307317489181602,0.2563564388454178
1,constant,LPME,0.12536291801095842,0.16064588477295721
1,constant,PC,0.18923587373552653,0.2451082421358598
1,constant,PME,0.2683962292187849,0.8501180713449682
1,linear,Data,0.22696624386121336,0.2632648769265949
1,linear,LPME,0.13825884876077454,0.17688675924349145
1,linear,PC,0.1936391952443717,0.25167315945099167
1,linear,PME,0.31172456398301907,0.9442572822299092
1,quadratic,Data,0.22457459818998418,0.2522582237301322
1,quadratic,LPME,3.4819644571530812,92.73329143220897
1,quadratic,PC,0.19147882066528116,0.24198641259775722
1,quadratic,PME,2.5969867257578816,24.31643568043894
1,sinusoidal,Data,0.22554315634289976,0.26131628974768145
1,sinusoidal,LPME,0.1330459461185304,0.18080985605046987
1,sinusoidal,PC,0.19255414153795708,0.24993277696036012
1,sinusoidal,PME,0.2781833193631299,0.9475494252779785
2,constant,Data,0.5139626174810334,0.40758644428533886
2,constant,LPME,0.3837340994399421,0.6480614100967909
2,constant,PC,0.6002481379353882,0.295756600466714
2,constant,PME,0.843077743228722,1.9255466044565084
2,linear,Data,0.5102883535957933,0.40708162951228316
2,linear,LPME,0.44416248391981267,0.647718134336676
2,linear,PC,0.5975682283170873,0.30127327845119795
2,linear,PME,0.7401245699358439,1.1854761106811587
2,quadratic,Data,0.5101444026428684,0.40576370560353164
2,quadratic,LPME,1.1620123845202934,4.3550171949506
2,quadratic,PC,0.599203048855521,0.3012724163010855
2,quadratic,PME,0.8155824846688425,1.8370047524136126
2,sinusoidal,Data,0.5095623140939253,0.40376193473510985
2,sinusoidal,LPME,0.4005724036028754,0.6158164851408681
2,sinusoidal,PC,0.5944895608630778,0.2997267463334308
2,sinusoidal,PME,0.9050622577399003,4.182795349646512
3,constant,Data,0.4458674402304046,0.44513811455247293
3,constant,LPME,0.4006310826396028,0.4463244700783033
3,constant,PC,0.4122553567174093,0.42301309841354756
3,constant,PME,0.5074748712616172,0.5937202817848625
3,linear,Data,0.4432035106375422,0.45378105258337575
3,linear,LPME,0.4019923810799493,0.4523589732032733
3,linear,PC,0.40997645768830593,0.43034521900005307
3,linear,PME,0.5989159442255012,2.7116372692063333
5,constant,Data,30.665824417319904,88.1047493619026
5,constant,LPME,27.711849711395807,260.2383721237247
5,constant,PC,30.622677884002098,88.0963046119321
5,constant,PME,30.698400362515912,88.23312268309364
5,linear,Data,29.83775423027133,84.28519078515104
5,linear,LPME,23.30161780904562,99.90695071748911
5,linear,PC,29.795370740138647,84.28207436117675
5,linear,PME,29.85989064091232,84.26871377631777
5,quadratic,Data,27.838787387771532,69.65159057034755
5,quadratic,LPME,59.02335857252472,1560.0753175681489
5,quadratic,PC,27.795205856982815,69.64825376054885
5,quadratic,PME,34.01967055053454,124.43829149123549
5,sinusoidal,Data,28.619440218160257,100.16760019628984
5,sinusoidal,LPME,21.287484479513584,95.48070354710974
5,sinusoidal,PC,28.575428870172736,100.16569813348688
5,sinusoidal,PME,28.624279512664234,100.15411419909205
6,constant,Data,0.9803722321496204,0.7705102404046082
6,constant,LPME,0.7911392669869408,0.8448290803271498
6,constant,PC,0.9343004968104309,0.7134380135332443
6,constant,PME,1.0357779519474692,1.0742615468196683
6,linear,Data,0.9687180145530534,0.7583973230864302
6,linear,LPME,0.8573924267966267,0.9087942762691624
6,linear,PC,0.9256478064201257,0.7023256821690546
6,linear,PME,1.0156598580490732,1.008978624019461
6,quadratic,Data,0.9792784181928531,0.7659294939478887
6,quadratic,LPME,1.7167778094238781,3.83116677140703
6,quadratic,PC,0.9345997698736556,0.7081987939530313
6,quadratic,PME,1.0880238195500447,1.4828294722276236
6,sinusoidal,Data,0.9842282631508127,0.7799632730392613
6,sinusoidal,LPME,0.8671724821775314,1.1482617895171956
6,sinusoidal,PC,0.9377759481033417,0.7209538685543746
6,sinusoidal,PME,1.0635923845957653,1.4177962186830266
7,constant,Data,1.4313564316301108,6.0426272533920296
7,constant,LPME,1.2057629898635625,5.655362969579287
7,constant,PC,1.005216751619446,2.111380658754384
7,constant,PME,1.4720190640362387,6.055212166289545
7,linear,Data,1.3580497209360864,4.406776063508271
7,linear,LPME,1.1452210432802823,3.2702693197658186
7,linear,PC,3.8376350739846368,6.892829981665715
7,linear,PME,1.3973607621908573,4.4080057490210915
7,quadratic,Data,1.2758716962641072,3.4067832847961244
7,quadratic,LPME,2.1765393873746213,7.470228981356314
7,quadratic,PC,33.3111063038086,97.01788053713089
7,quadratic,PME,1.3250117216670356,3.423190982385806
7,sinusoidal,Data,1.4295781887430616,5.450224582225689
7,sinusoidal,LPME,1.1512404979426525,3.6538928726176967
7,sinusoidal,PC,1.5035391365662938,2.42851145146201
7,sinusoidal,PME,1.471244856480481,5.45086783372915
8,constant,Data,0.5797742606739361,0.8391471133413754
8,constant,LPME,4.0667379444365475,3.3020868645579213
8,constant,PC,1.9544850543301835,0.8002240990082972
8,constant,PME,7.368719793777335,1.1439700328162734
8,linear,Data,0.59052795956952,0.8563440022866767
8,linear,LPME,3.788675607206548,3.414144992249591
8,linear,PC,2.0781912526099524,0.8290976256731803
8,linear,PME,7.340889522445007,1.2553162850223165
9,constant,Data,0.22628462532869992,0.2753172581240129
9,constant,LPME,0.1357826442728441,0.1687064133818518
9,constant,PC,0.2741311094999463,0.2429494862068766
9,constant,PME,0.24269716865474286,0.31095192088127593
9,linear,Data,0.2309128349561316,0.2877760701657977
9,linear,LPME,0.14363297292450333,0.19594079917574161
9,linear,PC,0.2931806451791506,0.25432819622868086
9,linear,PME,0.2430124896366327,0.31427784828344285
